tehsil,tri_mean,tri_count,forest_mean,forest_count,water_mean,water_count,snow_mean,snow_count,forest_pct,water_pct,snow_pct
ABBASPUR,38.705631256103516,10416,0.30568355321884155,10416,0.0,10416,0.029277782887220383,10289,30.568355321884155,0.0,2.9277782887220383
ADENZAI,24.07997703552246,38738,0.10008260607719421,38738,0.0018844545120373368,38738,0.010348002426326275,38738,10.008260607719421,0.18844545120373368,1.0348002426326275
ALAI,50.09878158569336,81851,0.24444417655467987,81851,0.07363379746675491,81851,0.18897520005702972,81851,24.444417655467987,7.363379746675491,18.897520005702972
ALIABAD,68.4262466430664,80554,0.0011669191299006343,80554,0.28538620471954346,80554,0.19801248610019684,80554,0.11669191299006343,28.538620471954346,19.801248610019684
ALPURI,50.38375473022461,57179,0.40560346841812134,57179,0.002658318728208542,57179,0.10117830336093903,57179,40.560346841812134,0.2658318728208542,10.117830336093903
AMBAR UTMAN KHEL,26.878597259521484,23312,0.010209334082901478,23312,0.0011582018341869116,23312,0.011205250397324562,22047,1.0209334082901478,0.11582018341869116,1.1205250397324562
ASTORE,48.8453369140625,520612,0.027667436748743057,520612,0.1930112987756729,520612,0.2683244049549103,518641,2.7667436748743057,19.30112987756729,26.832440495491028
ATHUMQAM,54.25493621826172,349429,0.3083544969558716,349429,0.08816096931695938,349429,0.2559393346309662,345318,30.835449695587158,8.816096931695938,25.59393346309662
BABUZAI,35.0031852722168,32566,0.1735859513282776,32566,0.004114720970392227,32566,0.046915020793676376,32566,17.35859513282776,0.4114720970392227,4.691502079367638
BAGH,38.984832763671875,44935,0.3619672954082489,44935,0.0010682096472010016,44935,0.055200885981321335,44829,36.19672954082489,0.10682096472010016,5.5200885981321335
BAHRAIN,52.7620735168457,318521,0.1623503565788269,318521,0.1791781336069107,318521,0.3183351755142212,318521,16.23503565788269,17.91781336069107,31.83351755142212
BALAKOT,48.58419418334961,243658,0.19657881557941437,243658,0.08720830082893372,243658,0.26167741417884827,243355,19.657881557941437,8.720830082893372,26.167741417884827
BAR CHAMARKAND,36.46294403076172,1665,0.057057056576013565,1665,0.0,1665,0.026073142886161804,1547,5.7057056576013565,0.0,2.6073142886161804
